Year,Country,Clean GW,Fossil GW,Gas and Other Fossil GW,"Hydro, Bioenergy and Other Renewables GW",Renewables GW,Wind and Solar GW,Bioenergy GW,Coal GW,Gas GW,Hydro GW,Nuclear GW,Other Fossil GW,Other Renewables GW,Solar GW,Wind GW,Demand TWh,Demand per capita MWh,Clean %,Fossil %,Gas and Other Fossil %,"Hydro, Bioenergy and Other Renewables %",Renewables %,Wind and Solar %,Clean TWh,Fossil TWh,Gas and Other Fossil TWh,"Hydro, Bioenergy and Other Renewables TWh",Renewables TWh,Wind and Solar TWh,Bioenergy %,Coal %,Gas %,Hydro %,Nuclear %,Other Fossil %,Other Renewables %,Solar %,Wind %,Bioenergy TWh,Coal TWh,Gas TWh,Hydro TWh,Nuclear TWh,Other Fossil TWh,Other Renewables TWh,Solar TWh,Wind TWh,Total Generation TWh,Net Imports TWh,Clean mtCO2,Fossil mtCO2,Gas and Other Fossil mtCO2,"Hydro, Bioenergy and Other Renewables mtCO2",Renewables mtCO2,Wind and Solar mtCO2,CO2 intensity gCO2/kWh,Bioenergy mtCO2,Coal mtCO2,Gas mtCO2,Hydro mtCO2,Nuclear mtCO2,Other Fossil mtCO2,Other Renewables mtCO2,Solar mtCO2,Wind mtCO2,Total emissions mtCO2,"GDP per capita,PPP"
2000,Sweden,27.73,6.68,6.39,18.06,18.27,0.21,1.51,0.29,0.41,16.51,9.46,5.98,0.04,0,0.21,149.91,16.9,96.72,3.28,2.15,56.93,57.25,0.32,140.46,4.77,3.13,82.68,83.14,0.46,2.82,1.13,0.33,54.11,39.47,1.82,0,0,0.32,4.1,1.64,0.48,78.58,57.32,2.65,0,0,0.46,145.23,4.68,3.05,3.47,1.89,2.76,2.77,0.01,44.89,0.89,1.58,0.15,1.87,0.28,1.74,0,0,0.01,6.52,40625.363
2001,Sweden,28.15,6.35,6.06,18.41,18.71,0.3,1.8,0.29,0.41,16.52,9.44,5.65,0.09,0,0.3,154.31,17.35,96.18,3.82,2.66,51.26,51.56,0.3,155.43,6.17,4.29,82.84,83.32,0.48,2.34,1.16,0.25,48.92,44.62,2.41,0,0,0.3,3.78,1.88,0.4,79.06,72.11,3.89,0,0,0.48,161.6,-7.29,3.06,4.5,2.69,2.7,2.71,0.01,46.78,0.82,1.81,0.13,1.88,0.35,2.56,0,0,0.01,7.56,41103.727
2002,Sweden,27.78,5.39,5.1,17.97,18.33,0.36,1.69,0.29,0.41,16.19,9.45,4.69,0.09,0,0.36,152.06,17.04,94.94,5.07,3.45,48.09,48.51,0.42,139.26,7.44,5.07,70.54,71.15,0.61,2.85,1.62,0.38,45.24,46.43,3.07,0,0,0.42,4.18,2.37,0.56,66.36,68.11,4.51,0,0,0.61,146.7,5.36,2.82,5.43,3.15,2.48,2.49,0.01,56.24,0.9,2.28,0.18,1.58,0.33,2.97,0,0,0.01,8.25,41870.258
2003,Sweden,27.74,6.3,6.01,17.88,18.3,0.42,1.69,0.29,0.41,16.1,9.44,5.6,0.09,0,0.42,148.22,16.54,93.18,6.83,4.72,42.88,43.38,0.5,126.15,9.24,6.39,58.05,58.73,0.68,3.33,2.11,0.54,39.55,49.8,4.18,0,0,0.5,4.51,2.85,0.73,53.54,67.42,5.66,0,0,0.68,135.39,12.83,2.59,6.69,3.95,2.25,2.26,0.01,68.54,0.98,2.74,0.23,1.27,0.33,3.72,0,0,0.01,9.28,42678.285
2004,Sweden,28.6,6.3,6.01,18.65,19.13,0.48,2.22,0.29,0.41,16.3,9.47,5.6,0.13,0,0.48,149.46,16.6,96.12,3.89,3.22,44.42,44.99,0.57,145.67,5.89,4.88,67.32,68.18,0.86,4.75,0.67,0.51,39.67,51.13,2.71,0,0,0.57,7.2,1.01,0.78,60.12,77.49,4.1,0,0,0.86,151.56,-2.1,3.37,3.91,2.94,2.99,3,0.01,48.03,1.56,0.97,0.24,1.43,0.37,2.7,0,0,0.01,7.28,44354.39
2005,Sweden,29.54,5.06,4.77,19.55,20.07,0.52,3.1,0.29,0.41,16.3,9.47,4.36,0.15,0,0.52,150.97,16.68,97,3.01,2.6,50.7,51.29,0.59,153.6,4.76,4.11,80.29,81.22,0.93,4.73,0.41,0.38,45.97,45.71,2.22,0,0,0.59,7.49,0.65,0.6,72.8,72.38,3.51,0,0,0.93,158.36,-7.39,3.71,3.12,2.5,3.35,3.36,0.01,43.13,1.62,0.62,0.19,1.73,0.35,2.31,0,0,0.01,6.83,45440.297
2006,Sweden,30.35,5.28,4.99,20.31,20.9,0.59,3.75,0.29,0.66,16.23,9.45,4.33,0.33,0,0.59,149.32,16.4,96.34,3.65,3.04,48.91,49.59,0.68,138.04,5.24,4.36,70.08,71.06,0.98,5.83,0.61,0.42,43.08,46.75,2.62,0,0,0.68,8.36,0.88,0.6,61.72,66.98,3.76,0,0,0.98,143.28,6.04,3.61,3.51,2.66,3.28,3.29,0.01,49.69,1.81,0.85,0.19,1.47,0.32,2.47,0,0,0.01,7.12,47292.312
2007,Sweden,29.82,6.02,5.73,19.92,20.75,0.83,3.12,0.29,0.66,16.59,9.07,5.07,0.21,0.01,0.82,150.14,16.38,97.03,2.98,2.54,51.07,52.03,0.96,144.4,4.42,3.77,76,77.43,1.43,6.61,0.44,0.56,44.46,45,1.98,0,0,0.96,9.84,0.65,0.83,66.16,66.97,2.94,0,0,1.43,148.82,1.32,4.04,2.81,2.19,3.7,3.72,0.02,46.03,2.13,0.62,0.26,1.57,0.32,1.93,0,0,0.02,6.85,48557.383
2008,Sweden,29.91,5.7,5.41,19.87,20.97,1.1,3.31,0.29,0.66,16.35,8.94,4.75,0.21,0.01,1.09,147.94,16.03,96.93,3.06,2.72,52.98,54.31,1.33,145.3,4.6,4.09,79.41,81.41,2,6.9,0.34,0.41,46.08,42.62,2.31,0,0,1.33,10.34,0.51,0.62,69.07,63.89,3.47,0,0,2,149.9,-1.96,4.21,2.96,2.47,3.88,3.9,0.02,47.83,2.24,0.49,0.19,1.64,0.31,2.28,0,0,0.02,7.17,47963.492
2009,Sweden,30.89,6.25,5.96,20.56,22.05,1.49,3.69,0.29,1.11,16.54,8.84,4.85,0.33,0.01,1.48,141.29,15.19,96.62,3.38,3.01,56.6,58.43,1.83,131.98,4.62,4.11,77.31,79.81,2.5,8.39,0.37,1.14,48.21,38.19,1.87,0,0.01,1.82,11.46,0.51,1.56,65.85,52.17,2.55,0,0.01,2.49,136.6,4.69,4.32,2.66,2.17,4.04,4.07,0.03,51.1,2.48,0.49,0.49,1.56,0.25,1.68,0,0,0.03,6.98,45492.77
